,Title,Published_date,Views,Likes,Comments,month
64,7 Incredible Books That Transformed My Health and My Life,2021-11-12 13:00:04+00:00,7973,389,112,11
65,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05 13:00:23+00:00,3616,203,48,11
66,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29 12:00:01+00:00,12052,277,38,10
67,ML Ops: What is it REALLY?,2021-10-22 13:00:00+00:00,6306,273,65,10
68,Business Skills for Data Science: What are they REALLY?,2021-10-18 13:00:27+00:00,6664,297,50,10
69,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12 16:05:54+00:00,2201,123,5,10
70,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08 13:00:15+00:00,5827,277,64,10
71,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20 13:00:20+00:00,12655,530,112,8
72,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07 14:00:11+00:00,10038,428,32,8
73,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06 23:04:24+00:00,40059,1559,30,8
74,How I Learned to Learn.,2021-07-31 13:00:26+00:00,50488,2349,209,7
75,Is Spotify Shuffle Really Random? #Shorts,2021-07-21 13:00:21+00:00,10129,570,50,7
76,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16 21:30:26+00:00,2374,93,30,7
77,Why are APIs Important for Data Science?,2021-07-09 13:00:32+00:00,9504,446,95,7
78,Is Your Phone REALLY Listening to You?,2021-07-03 13:00:31+00:00,5142,278,116,7
79,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25 13:00:12+00:00,14174,574,120,6
80,#66DaysOfData - 3 Reasons to Start!,2021-06-18 13:00:32+00:00,4066,225,41,6
81,#66DaysOfData - What is it? #shorts,2021-06-11 12:48:29+00:00,8889,383,54,6
82,A Quick Data Science Project Tip! #SHORTS,2021-06-03 13:00:06+00:00,16439,1004,89,6
83,Discouraged with Data Science? - Watch THIS video.,2021-05-28 13:00:02+00:00,7401,392,195,5
84,How Data Science Projects Pay Off,2021-05-22 13:30:03+00:00,10467,590,146,5
85,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14 13:00:03+00:00,10462,485,134,5
86,What is a lambda function (python)? #shorts,2021-05-13 00:38:55+00:00,14615,909,49,5
87,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07 13:00:30+00:00,26098,1400,59,5
88,What is Pandas? (Data & Data Science) #shorts,2021-04-30 13:00:07+00:00,22765,1157,87,4
89,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23 13:00:14+00:00,75780,3383,281,4
90,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16 13:00:00+00:00,23312,688,85,4
91,Why You Probably Won't Become a Data Scientist,2021-04-09 13:00:31+00:00,136051,3994,482,4
92,How to Go From Data Analyst to Data Scientist,2021-04-02 13:00:14+00:00,52524,1506,173,4
93,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26 13:00:03+00:00,3951,138,92,3
94,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19 13:00:32+00:00,18097,350,108,3
95,My Regrets as a Data Science Student,2021-03-12 13:00:27+00:00,23735,877,112,3
96,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08 13:00:06+00:00,3815,196,83,3
97,What is the Future of my Comment Leaderboard Project?,2021-02-26 14:00:15+00:00,5549,201,81,2
98,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19 13:00:14+00:00,6543,172,51,2
99,Why I Quit Data Science,2021-02-12 13:00:19+00:00,104302,2341,348,2
100,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29 13:00:06+00:00,10532,545,116,1
101,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23 14:00:30+00:00,6983,295,126,1
102,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16 14:00:10+00:00,9401,298,52,1
103,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08 13:00:16+00:00,21823,693,134,1
104,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02 14:00:26+00:00,36372,1129,147,1
105,What is the #66DaysOfData?,2020-12-26 14:00:31+00:00,68987,2307,210,12
106,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19 14:00:01+00:00,131111,5973,494,12
107,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10 13:00:09+00:00,10739,395,136,12
108,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07 14:00:11+00:00,23300,723,328,12
109,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20 13:00:26+00:00,26879,833,167,11
110,6 Lessons from #66DaysOfData,2020-11-13 13:00:02+00:00,6690,340,93,11
111,100K Channel Update + AMA Stream!,2020-11-12 17:34:26+00:00,2318,127,24,11
112,Find a Data Science Project With These 3 Techniques,2020-11-06 13:00:13+00:00,16547,719,106,11
113,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30 14:00:07+00:00,25950,659,156,10
114,git for Data Science Made Simple... (Hopefully),2020-10-23 15:00:10+00:00,18542,843,92,10
115,The PODCAST you might have asked for?,2020-10-19 15:00:11+00:00,2101,94,44,10
116,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16 15:00:18+00:00,6671,446,113,10
117,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14 15:00:11+00:00,13696,402,48,10
118,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12 15:00:00+00:00,6597,141,62,10
119,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09 15:00:09+00:00,10767,549,83,10
120,Sh*t Data Scientists Say (Parody),2020-10-05 15:00:08+00:00,9379,575,143,10
121,5 Proven Strategies to Break into a Data Science Job,2020-10-02 15:00:08+00:00,8572,366,93,10
122,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30 15:00:09+00:00,7046,289,61,9
123,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28 15:00:04+00:00,11368,288,69,9
124,5 Essential Data Science Projects for Your Portfolio,2020-09-26 15:00:06+00:00,71360,3064,208,9
125,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23 15:00:02+00:00,5162,196,64,9
126,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21 15:00:03+00:00,10935,442,58,9
127,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18 16:00:10+00:00,7364,250,34,9
128,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16 15:00:24+00:00,5082,193,56,9
129,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14 15:00:00+00:00,4145,157,35,9
130,The 5 Pillars of Success I Live By,2020-09-11 15:00:11+00:00,10111,873,152,9
131,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09 15:00:12+00:00,1884,78,25,9
132,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07 15:00:30+00:00,3991,161,43,9
133,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04 15:00:00+00:00,11697,733,144,9
134,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02 15:00:13+00:00,17828,567,89,9
135,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31 15:00:15+00:00,17549,786,93,8
